ra,dec
316.4731,0.527729
325.09631,0.12552
325.91916,-0.899174
335.93475,0.39152309
347.92176,0.91992683
331.4392,0.36749347
341.8024,-0.008677
344.43054,0.63102067
311.39132,0.978327
356.52808,-0.795042
350.67318,-0.92962432
336.28039,-0.29724478
323.33815,-1.1728029
336.59567,-0.44927201
344.70821,-1.0212324
337.13556,-0.308199
336.88846,0.10013807
340.74926,0.639206
335.62272,0.12763757
333.17297,-1.026007
323.59497,-0.045754
358.90161,1.0205
339.63165,0.193763
357.26319,-0.254399
339.71478,0.8798882
334.48295,-1.1185895
344.46863,0.26638438
356.14962,0.49093959
328.95443,-0.960553
322.10988,-0.743937
355.53054,0.54801
322.9732,0.43573781
327.97586,1.058091
347.01702,1.1401228
324.44061,0.848154
342.35547,-0.326784
337.42409,-1.090943
322.34085,-0.513223
322.98584,-0.670906
323.47103,0.499769
322.70008,0.8655795
323.9923,0.81741271
334.72049,0.65816281
335.32383,0.32113725
328.66119,-0.144924
327.87314,-0.79955742
344.14129,-0.41992054
352.11584,1.148001
338.76158,0.4657905
325.02344,-0.639667
350.11712,0.091935501
344.48609,0.21660472
335.34096,1.0801061
338.08323,0.63970686
317.66458,0.810702
325.83688,-0.833234
333.4881,0.77786973
326.81808,-0.961712
324.13251,-0.22733851
347.90281,0.88780967
333.82147,-0.33221619
335.42682,0.59245708
352.01025,0.25210754
335.58777,1.1098906
319.81436,-0.722345
334.87371,0.71806042
321.62129,0.58317139
337.16405,0.87827321
313.60361,1.2152356
327.38341,0.550623
334.77039,0.28748997
329.7199,0.550579
316.64451,0.512335
324.91879,0.410924
311.89036,-0.735156
317.89505,-0.121985
318.18798,0.46145491
323.29482,0.923138
336.16067,-0.08114607
345.29571,-1.055356
353.3627,1.1249984
346.69054,0.030785679
349.90638,-0.22881284
315.60696,1.015277
356.48765,-0.84238674
337.51209,0.8002561
328.8146,-0.133752
328.60295,0.38764813
317.80974,-0.173745
319.5945,1.0229098
334.63142,-0.66125924
318.53738,-0.050634
347.86656,0.17194232
328.10012,-0.518301
322.38569,0.53732801
355.33129,0.515737
324.62979,0.321625
354.50573,0.6707534
334.93442,-0.72169748
327.33069,0.515473
335.47372,-0.74230984
327.84311,1.224351
328.33944,0.453471
352.63734,0.9402641
351.90407,-0.36960514
328.41183,0.486102
343.15153,-0.46680933
321.94359,1.0571202
322.90105,-0.823959
317.37119,0.787632
340.05761,-0.42246
336.9902,-0.11341891
341.01403,-0.996936
328.41494,1.128725
353.5315,0.3925653
322.47295,-0.26948696
345.1521,-0.97812825
338.422,0.094174
329.34268,0.46998394
328.61557,-0.709745
327.85423,0.42072483
322.28396,-0.539808
324.36978,0.85131831
335.03181,-0.31086996
323.70908,1.174446
317.44189,0.56630558
355.84395,0.61745173
321.19271,1.1589052
328.73834,0.613869
339.37446,-1.096982
326.05556,0.96325048
334.42935,-0.424004
320.88374,-0.55876006
324.49834,0.458737
326.14613,0.989807
354.42455,-1.1759947
327.76039,-0.31703921
315.74952,-0.404838
316.08076,-0.032177534
340.47303,1.18407
333.90656,-0.27129578
331.74194,0.999448
324.56035,-0.305045
352.64022,0.74722052
312.09156,-0.461403
334.07446,-0.45880089
354.97494,0.735347
323.05198,0.601578
331.09694,-0.38396586
312.70129,0.613649
